Sexo;Provincia;Municipio;Fecha;Total
Total;Madrid;Navalagamella;1 de enero de 2022;2809
Total;Madrid;Navalcarnero;1 de enero de 2022;31379
Total;Madrid;Navarredonda y San Mames;1 de enero de 2022;138
Total;Madrid;Navas del Rey;1 de enero de 2022;3134
Total;Madrid;Nuevo Baztan;1 de enero de 2022;6760
Total;Madrid;Olmeda de las Fuentes;1 de enero de 2022;376
Total;Madrid;Orusco de Tajuña;1 de enero de 2022;1326
Total;Madrid;Paracuellos de Jarama;1 de enero de 2022;26450
Total;Madrid;Parla;1 de enero de 2022;130577
Total;Madrid;Patones;1 de enero de 2022;536
Total;Madrid;Pedrezuela;1 de enero de 2022;6307
Total;Madrid;Pelayos de la Presa;1 de enero de 2022;2867
Total;Madrid;Perales de Tajuña;1 de enero de 2022;3117
Total;Madrid;Pezuela de las Torres;1 de enero de 2022;931
Total;Madrid;Pinilla del Valle;1 de enero de 2022;198
Total;Madrid;Pinto;1 de enero de 2022;54088
Total;Madrid;Piñuecar-Gandullas;1 de enero de 2022;184
Total;Madrid;Pozuelo de Alarcon;1 de enero de 2022;87728
Total;Madrid;Pozuelo del Rey;1 de enero de 2022;1178
Total;Madrid;Pradena del Rincon;1 de enero de 2022;147
Total;Madrid;Puebla de la Sierra;1 de enero de 2022;84
Total;Madrid;Puentes Viejas;1 de enero de 2022;697
Total;Madrid;Quijorna;1 de enero de 2022;3683
Total;Madrid;Rascafria;1 de enero de 2022;1736
Total;Madrid;Redueña;1 de enero de 2022;298
Total;Madrid;Ribatejada;1 de enero de 2022;871
Total;Madrid;Rivas-Vaciamadrid;1 de enero de 2022;96690
Total;Madrid;Robledillo de la Jara;1 de enero de 2022;114
Total;Madrid;Robledo de Chavela;1 de enero de 2022;4587
Total;Madrid;Robregordo;1 de enero de 2022;70
Total;Madrid;Rozas de Madrid, Las;1 de enero de 2022;95725
Total;Madrid;Rozas de Puerto Real;1 de enero de 2022;577
Total;Madrid;San Agustin del Guadalix;1 de enero de 2022;13608
Total;Madrid;San Fernando de Henares;1 de enero de 2022;38904
Total;Madrid;San Lorenzo de El Escorial;1 de enero de 2022;18423
Total;Madrid;San Martin de la Vega;1 de enero de 2022;19927
Total;Madrid;San Martin de Valdeiglesias;1 de enero de 2022;8812
Total;Madrid;San Sebastian de los Reyes;1 de enero de 2022;91083
Total;Madrid;Santa Maria de la Alameda;1 de enero de 2022;1499
Total;Madrid;Santorcaz;1 de enero de 2022;941
Total;Madrid;Santos de la Humosa, Los;1 de enero de 2022;2751
Total;Madrid;Serna del Monte, La;1 de enero de 2022;108
Total;Madrid;Serranillos del Valle;1 de enero de 2022;4509
Total;Madrid;Sevilla la Nueva;1 de enero de 2022;9361
Total;Madrid;Somosierra;1 de enero de 2022;87
Total;Madrid;Soto del Real;1 de enero de 2022;9188
Total;Madrid;Talamanca de Jarama;1 de enero de 2022;4210
Total;Madrid;Tielmes;1 de enero de 2022;2783
Total;Madrid;Titulcia;1 de enero de 2022;1336
Total;Madrid;Torrejon de Ardoz;1 de enero de 2022;134733
Total;Madrid;Torrejon de la Calzada;1 de enero de 2022;9947
Total;Madrid;Torrejon de Velasco;1 de enero de 2022;4685
Total;Madrid;Torrelaguna;1 de enero de 2022;4940
Total;Madrid;Torrelodones;1 de enero de 2022;24775
Total;Madrid;Torremocha de Jarama;1 de enero de 2022;1097
Total;Madrid;Torres de la Alameda;1 de enero de 2022;7714
Total;Madrid;Tres Cantos;1 de enero de 2022;50187
Total;Madrid;Valdaracete;1 de enero de 2022;627
Total;Madrid;Valdeavero;1 de enero de 2022;1701
Total;Madrid;Valdelaguna;1 de enero de 2022;1016
Total;Madrid;Valdemanco;1 de enero de 2022;1033
Total;Madrid;Valdemaqueda;1 de enero de 2022;798
Total;Madrid;Valdemorillo;1 de enero de 2022;13453
Total;Madrid;Valdemoro;1 de enero de 2022;79100
Total;Madrid;Valdeolmos-Alalpardo;1 de enero de 2022;4396
Total;Madrid;Valdepielagos;1 de enero de 2022;621
Total;Madrid;Valdetorres de Jarama;1 de enero de 2022;4830
Total;Madrid;Valdilecha;1 de enero de 2022;3104
Total;Madrid;Valverde de Alcala;1 de enero de 2022;532
Total;Madrid;Velilla de San Antonio;1 de enero de 2022;12770
Total;Madrid;Vellon, El;1 de enero de 2022;2124
Total;Madrid;Venturada;1 de enero de 2022;2445
Total;Madrid;Villa del Prado;1 de enero de 2022;7092
Total;Madrid;Villaconejos;1 de enero de 2022;3456
Total;Madrid;Villalbilla;1 de enero de 2022;15866
Total;Madrid;Villamanrique de Tajo;1 de enero de 2022;757
Total;Madrid;Villamanta;1 de enero de 2022;2714
Total;Madrid;Villamantilla;1 de enero de 2022;1567
Total;Madrid;Villanueva de la Cañada;1 de enero de 2022;22845
Total;Madrid;Villanueva de Perales;1 de enero de 2022;1623
Total;Madrid;Villanueva del Pardillo;1 de enero de 2022;17382
Total;Madrid;Villar del Olmo;1 de enero de 2022;2219
Total;Madrid;Villarejo de Salvanes;1 de enero de 2022;7629
Total;Madrid;Villaviciosa de Odon;1 de enero de 2022;28152
Total;Madrid;Villavieja del Lozoya;1 de enero de 2022;284
Total;Madrid;Zarzalejo;1 de enero de 2022;1773
Hombres;Madrid;;1 de enero de 2022;3230154
Hombres;Madrid;Acebeda, La;1 de enero de 2022;32
Hombres;Madrid;Ajalvir;1 de enero de 2022;2473
Hombres;Madrid;Alameda del Valle;1 de enero de 2022;137
Hombres;Madrid;Álamo, El;1 de enero de 2022;4972
Hombres;Madrid;Alcala de Henares;1 de enero de 2022;95472
Hombres;Madrid;Alcobendas;1 de enero de 2022;55907
Hombres;Madrid;Alcorcon;1 de enero de 2022;81673
