Sexo;Provincia;Municipio;Fecha;Total
Mujeres;Madrid;Montejo de la Sierra;1 de enero de 2022;189
Mujeres;Madrid;Moraleja de Enmedio;1 de enero de 2022;2667
Mujeres;Madrid;Moralzarzal;1 de enero de 2022;6968
Mujeres;Madrid;Morata de Tajuña;1 de enero de 2022;3951
Mujeres;Madrid;Mostoles;1 de enero de 2022;107443
Mujeres;Madrid;Navacerrada;1 de enero de 2022;1624
Mujeres;Madrid;Navalafuente;1 de enero de 2022;764
Mujeres;Madrid;Navalagamella;1 de enero de 2022;1367
Mujeres;Madrid;Navalcarnero;1 de enero de 2022;15794
Mujeres;Madrid;Navarredonda y San Mames;1 de enero de 2022;53
Mujeres;Madrid;Navas del Rey;1 de enero de 2022;1509
Mujeres;Madrid;Nuevo Baztan;1 de enero de 2022;3292
Mujeres;Madrid;Olmeda de las Fuentes;1 de enero de 2022;183
Mujeres;Madrid;Orusco de Tajuña;1 de enero de 2022;631
Mujeres;Madrid;Paracuellos de Jarama;1 de enero de 2022;13204
Mujeres;Madrid;Parla;1 de enero de 2022;65730
Mujeres;Madrid;Patones;1 de enero de 2022;279
Mujeres;Madrid;Pedrezuela;1 de enero de 2022;3132
Mujeres;Madrid;Pelayos de la Presa;1 de enero de 2022;1413
Mujeres;Madrid;Perales de Tajuña;1 de enero de 2022;1544
Mujeres;Madrid;Pezuela de las Torres;1 de enero de 2022;439
Mujeres;Madrid;Pinilla del Valle;1 de enero de 2022;92
Mujeres;Madrid;Pinto;1 de enero de 2022;27362
Mujeres;Madrid;Piñuecar-Gandullas;1 de enero de 2022;88
Mujeres;Madrid;Pozuelo de Alarcon;1 de enero de 2022;45739
Mujeres;Madrid;Pozuelo del Rey;1 de enero de 2022;567
Mujeres;Madrid;Pradena del Rincon;1 de enero de 2022;63
Mujeres;Madrid;Puebla de la Sierra;1 de enero de 2022;33
Mujeres;Madrid;Puentes Viejas;1 de enero de 2022;311
Mujeres;Madrid;Quijorna;1 de enero de 2022;1831
Mujeres;Madrid;Rascafria;1 de enero de 2022;797
Mujeres;Madrid;Redueña;1 de enero de 2022;133
Mujeres;Madrid;Ribatejada;1 de enero de 2022;417
Mujeres;Madrid;Rivas-Vaciamadrid;1 de enero de 2022;48801
Mujeres;Madrid;Robledillo de la Jara;1 de enero de 2022;55
Mujeres;Madrid;Robledo de Chavela;1 de enero de 2022;2187
Mujeres;Madrid;Robregordo;1 de enero de 2022;31
Mujeres;Madrid;Rozas de Madrid, Las;1 de enero de 2022;49493
Mujeres;Madrid;Rozas de Puerto Real;1 de enero de 2022;241
Mujeres;Madrid;San Agustin del Guadalix;1 de enero de 2022;6972
Mujeres;Madrid;San Fernando de Henares;1 de enero de 2022;19944
Mujeres;Madrid;San Lorenzo de El Escorial;1 de enero de 2022;9612
Mujeres;Madrid;San Martin de la Vega;1 de enero de 2022;9799
Mujeres;Madrid;San Martin de Valdeiglesias;1 de enero de 2022;4429
Mujeres;Madrid;San Sebastian de los Reyes;1 de enero de 2022;46880
Mujeres;Madrid;Santa Maria de la Alameda;1 de enero de 2022;697
Mujeres;Madrid;Santorcaz;1 de enero de 2022;468
Mujeres;Madrid;Santos de la Humosa, Los;1 de enero de 2022;1337
Mujeres;Madrid;Serna del Monte, La;1 de enero de 2022;49
Mujeres;Madrid;Serranillos del Valle;1 de enero de 2022;2291
Mujeres;Madrid;Sevilla la Nueva;1 de enero de 2022;4762
Mujeres;Madrid;Somosierra;1 de enero de 2022;37
Mujeres;Madrid;Soto del Real;1 de enero de 2022;4666
Mujeres;Madrid;Talamanca de Jarama;1 de enero de 2022;2157
Mujeres;Madrid;Tielmes;1 de enero de 2022;1373
Mujeres;Madrid;Titulcia;1 de enero de 2022;634
Mujeres;Madrid;Torrejon de Ardoz;1 de enero de 2022;68597
Mujeres;Madrid;Torrejon de la Calzada;1 de enero de 2022;5011
Mujeres;Madrid;Torrejon de Velasco;1 de enero de 2022;2364
Mujeres;Madrid;Torrelaguna;1 de enero de 2022;2481
Mujeres;Madrid;Torrelodones;1 de enero de 2022;12830
Mujeres;Madrid;Torremocha de Jarama;1 de enero de 2022;532
Mujeres;Madrid;Torres de la Alameda;1 de enero de 2022;3763
Mujeres;Madrid;Tres Cantos;1 de enero de 2022;25862
Mujeres;Madrid;Valdaracete;1 de enero de 2022;305
Mujeres;Madrid;Valdeavero;1 de enero de 2022;824
Mujeres;Madrid;Valdelaguna;1 de enero de 2022;507
Mujeres;Madrid;Valdemanco;1 de enero de 2022;499
Mujeres;Madrid;Valdemaqueda;1 de enero de 2022;397
Mujeres;Madrid;Valdemorillo;1 de enero de 2022;6680
Mujeres;Madrid;Valdemoro;1 de enero de 2022;40214
Mujeres;Madrid;Valdeolmos-Alalpardo;1 de enero de 2022;2151
Mujeres;Madrid;Valdepielagos;1 de enero de 2022;302
Mujeres;Madrid;Valdetorres de Jarama;1 de enero de 2022;2412
Mujeres;Madrid;Valdilecha;1 de enero de 2022;1500
Mujeres;Madrid;Valverde de Alcala;1 de enero de 2022;250
Mujeres;Madrid;Velilla de San Antonio;1 de enero de 2022;6361
Mujeres;Madrid;Vellon, El;1 de enero de 2022;1018
Mujeres;Madrid;Venturada;1 de enero de 2022;1174
Mujeres;Madrid;Villa del Prado;1 de enero de 2022;3485
Mujeres;Madrid;Villaconejos;1 de enero de 2022;1682
Mujeres;Madrid;Villalbilla;1 de enero de 2022;7880
Mujeres;Madrid;Villamanrique de Tajo;1 de enero de 2022;363
Mujeres;Madrid;Villamanta;1 de enero de 2022;1334
Mujeres;Madrid;Villamantilla;1 de enero de 2022;799
Mujeres;Madrid;Villanueva de la Cañada;1 de enero de 2022;11725
Mujeres;Madrid;Villanueva de Perales;1 de enero de 2022;791
Mujeres;Madrid;Villanueva del Pardillo;1 de enero de 2022;8966
Mujeres;Madrid;Villar del Olmo;1 de enero de 2022;1117
Mujeres;Madrid;Villarejo de Salvanes;1 de enero de 2022;3839
Mujeres;Madrid;Villaviciosa de Odon;1 de enero de 2022;14533
Mujeres;Madrid;Villavieja del Lozoya;1 de enero de 2022;134
Mujeres;Madrid;Zarzalejo;1 de enero de 2022;870
